username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
ayesha_kapadia,Ayesha Kapadia,597742113,438750971817365504,/ayesha_kapadia/status/438750971817365504,2014-02-26 19:02:37,1393441357,0,0,1,0,,,,Friend. #art #design #graphic #illustration #Mumbai #friend #dinasaur #sunlight #flood #filter http://instagram.com/p/k4-tK_RA0Z/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Friend. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/art?src=hash""><s>#</s><b>art</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/design?src=hash""><s>#</s><b>design</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/graphic?src=hash""><s>#</s><b>graphic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/illustration?src=hash""><s>#</s><b>illustration</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/friend?src=hash""><s>#</s><b>friend</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/dinasaur?src=hash""><s>#</s><b>dinasaur</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sunlight?src=hash""><s>#</s><b>sunlight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/filter?src=hash""><s>#</s><b>filter</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/k4-tK_RA0Z/"" dir=""ltr"" href=""http://t.co/eCoFeML7Yl"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/k4-tK_RA0Z/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/k4-tK_RA0Z/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
ayesha_kapadia,Ayesha Kapadia,597742113,438750971817365504,/ayesha_kapadia/status/438750971817365504,2014-02-26 19:02:37,1393441357,0,0,1,0,,,,Friend. #art #design #graphic #illustration #Mumbai #friend #dinasaur #sunlight #flood #filter http://instagram.com/p/k4-tK_RA0Z/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Friend. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/art?src=hash""><s>#</s><b>art</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/design?src=hash""><s>#</s><b>design</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/graphic?src=hash""><s>#</s><b>graphic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/illustration?src=hash""><s>#</s><b>illustration</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/friend?src=hash""><s>#</s><b>friend</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/dinasaur?src=hash""><s>#</s><b>dinasaur</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sunlight?src=hash""><s>#</s><b>sunlight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/filter?src=hash""><s>#</s><b>filter</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/k4-tK_RA0Z/"" dir=""ltr"" href=""http://t.co/eCoFeML7Yl"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/k4-tK_RA0Z/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/k4-tK_RA0Z/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
SanaKhanGeek,Sana Khan,2368663945,544555926926016512,/SanaKhanGeek/status/544555926926016512,2014-12-15 18:13:44,1418667224,0,0,0,0,,,,"Humanity Still Exists: The good samaritans of Mumbai help out elderly during #Mumbai floods of 2005. 

#flood pic.twitter.com/QA8i7EUyg0","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Humanity Still Exists: The good samaritans of <strong>Mumbai</strong> help out elderly during <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> floods of 2005. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/QA8i7EUyg0"">pic.twitter.com/QA8i7EUyg0</a></p>"
mataonline,Maharashtra Times,171880832,539248361623146498,/mataonline/status/539248361623146498,2014-12-01 02:43:22,1417401802,0,1,0,0,,,,"हवामान बदलाचा फटका, मुंबई-कोलकाताला पुराचा धोका!
http://mtonline.in/cFxIbY 
#mumbai #globalwarming #flood #Mumbai #Kolkata","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""mr"">हवामान बदलाचा फटका, मुंबई-कोलकाताला पुराचा धोका!
<a class=""twitter-timeline-link"" data-expanded-url=""http://mtonline.in/cFxIbY"" dir=""ltr"" href=""http://t.co/AB5aHGoTP5"" rel=""nofollow noopener"" target=""_blank"" title=""http://mtonline.in/cFxIbY""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">mtonline.in/cFxIbY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mumbai?src=hash""><s>#</s><b><strong>mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/globalwarming?src=hash""><s>#</s><b>globalwarming</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b>Kolkata</b></a></p>"
iq2eq,L Prasad,41327893,538672533910740992,/iq2eq/status/538672533910740992,2014-11-29 12:35:14,1417264514,0,0,1,0,,,,"""All this sound & fury receded with the floodwaters & it was soon business as usual."" http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity … Mumbai is on verge of imploding","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""All this sound &amp; fury receded with the <strong>floodwaters</strong> &amp; it was soon business as usual."" <a class=""twitter-timeline-link"" data-expanded-url=""http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity"" dir=""ltr"" href=""http://t.co/jvfG2lF3ZM"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">theguardian.com/cities/2014/no</span><span class=""invisible"">v/24/mumbai-verge-imploding-polluted-megacity</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <strong>Mumbai</strong> is on verge of imploding</p>"
puninda,Puninda,374244478,538043133792374784,/puninda/status/538043133792374784,2014-11-27 18:54:14,1417114454,0,0,0,0,,,,"Effective urban #planning crucial for #Mumbai http://bit.ly/1psaNmj  unchecked intense development,waste mgmt issues increase #flood damages","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Effective urban <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/planning?src=hash""><s>#</s><b>planning</b></a> crucial for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1psaNmj"" dir=""ltr"" href=""http://t.co/FDxZpmLT9f"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1psaNmj""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1psaNmj</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> unchecked intense development,waste mgmt issues increase <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> damages</p>"
rx100products,Tony Cowling,2319863726,537940671798452224,/rx100products/status/537940671798452224,2014-11-27 12:07:05,1417090025,0,0,0,0,,,,#flood #rx100 Mumbai will likely <b>flood</b> again – and nobody&#39;s doing much about it http://ow.ly/2RhjvC ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rx100?src=hash""><s>#</s><b>rx100</b></a> <strong>Mumbai</strong> will likely &lt;b&gt;flood&lt;/b&gt; again – and nobody&amp;#39;s doing much about it <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/2RhjvC"" dir=""ltr"" href=""http://t.co/fAKJvp6sfp"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/2RhjvC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/2RhjvC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
rx100products,Tony Cowling,2319863726,537926401874096128,/rx100products/status/537926401874096128,2014-11-27 11:10:23,1417086623,0,0,0,0,,,,#flood #rx100 Mumbai will likely <b>flood</b> again – and nobody&#39;s doing much about it http://ow.ly/2Rh6Vx ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rx100?src=hash""><s>#</s><b>rx100</b></a> <strong>Mumbai</strong> will likely &lt;b&gt;flood&lt;/b&gt; again – and nobody&amp;#39;s doing much about it <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/2Rh6Vx"" dir=""ltr"" href=""http://t.co/JTL6Cruhu6"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/2Rh6Vx""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/2Rh6Vx</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
TeachitGeog,Teachit Geography,717616026,537892589685706752,/TeachitGeog/status/537892589685706752,2014-11-27 08:56:01,1417078561,0,3,1,0,,,,Great starter: #Mumbai will #flood again but nobody's doing much! http://bit.ly/1y4aa5D  #geographyteacher #indiapic.twitter.com/L6n54rkzjs,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great starter: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> will <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> again but nobody's doing much! <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1y4aa5D"" dir=""ltr"" href=""http://t.co/XtbARFtaUI"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1y4aa5D""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1y4aa5D</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/geographyteacher?src=hash""><s>#</s><b>geographyteacher</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/india?src=hash""><s>#</s><b>india</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/L6n54rkzjs"">pic.twitter.com/L6n54rkzjs</a></p>"
WillRogowski,Will Rogowski,1693967522,537867506430386176,/WillRogowski/status/537867506430386176,2014-11-27 07:16:21,1417072581,0,0,0,0,,,,Mumbai Will Likely #Flood Again - And Nobody's Doing Much About it http://www.ndtv.com/article/cities/mumbai-will-likely-flood-again-and-nobody-s-doing-much-about-it-626575 … via @ndtv,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Mumbai</strong> Will Likely <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> Again - And Nobody's Doing Much About it <a class=""twitter-timeline-link"" data-expanded-url=""http://www.ndtv.com/article/cities/mumbai-will-likely-flood-again-and-nobody-s-doing-much-about-it-626575"" dir=""ltr"" href=""http://t.co/rrmDGjzK6N"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.ndtv.com/article/cities/mumbai-will-likely-flood-again-and-nobody-s-doing-much-about-it-626575""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">ndtv.com/article/cities</span><span class=""invisible"">/mumbai-will-likely-flood-again-and-nobody-s-doing-much-about-it-626575</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""37034483"" dir=""ltr"" href=""/ndtv""><s>@</s><b>ndtv</b></a></p>"
DisaWorldNews,Disaster World News,2585523085,537847670296281088,/DisaWorldNews/status/537847670296281088,2014-11-27 05:57:31,1417067851,0,0,0,0,,,,Mumbai will likely flood again – and nobody's doing much about it - The Guardian http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGjghS6N10zOi2bztq6GTgmJwmbBA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=I7l2VKCPL-T8mQLhqoHIAg&url=http://www.theguardian.com/cities/2014/nov/27/mumbai-flood-rain-monsoon-city-planning … #Flood,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Mumbai</strong> will likely flood again – and nobody's doing much about it - The Guardian <a class=""twitter-timeline-link"" data-expanded-url=""http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=us&amp;usg=AFQjCNGjghS6N10zOi2bztq6GTgmJwmbBA&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;ei=I7l2VKCPL-T8mQLhqoHIAg&amp;url=http://www.theguardian.com/cities/2014/nov/27/mumbai-flood-rain-monsoon-city-planning"" dir=""ltr"" href=""http://t.co/aJuRPmVatt"" rel=""nofollow noopener"" target=""_blank"" title=""http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=us&amp;usg=AFQjCNGjghS6N10zOi2bztq6GTgmJwmbBA&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;ei=I7l2VKCPL-T8mQLhqoHIAg&amp;url=http://www.theguardian.com/cities/2014/nov/27/mumbai-flood-rain-monsoon-city-planning""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">news.google.com/news/url?sa=t&amp;</span><span class=""invisible"">fd=R&amp;ct2=us&amp;usg=AFQjCNGjghS6N10zOi2bztq6GTgmJwmbBA&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;ei=I7l2VKCPL-T8mQLhqoHIAg&amp;url=http://www.theguardian.com/cities/2014/nov/27/mumbai-flood-rain-monsoon-city-planning</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a></p>"
ukfloodtweets,UK Flood Tweets,2337955724,537846572168380416,/ukfloodtweets/status/537846572168380416,2014-11-27 05:53:10,1417067590,0,0,0,0,,,,#floods #ukfloods - Mumbai will likely flood again – and nobody's doing much about it - The Guardi... http://bit.ly/1xJkMBA  - #flooding,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/floods?src=hash""><s>#</s><b>floods</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ukfloods?src=hash""><s>#</s><b>ukfloods</b></a> - <strong>Mumbai</strong> will likely flood again – and nobody's doing much about it - The Guardi... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1xJkMBA"" dir=""ltr"" href=""http://t.co/5Wik4SsvZ8"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1xJkMBA""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1xJkMBA</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> - <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a></p>"
SP_Simonovic,Slobodan P Simonovic,2704377224,536885123690799104,/SP_Simonovic/status/536885123690799104,2014-11-24 14:12:42,1416838362,0,0,0,0,,,,Mumbai - future disasters in making! http://goo.gl/yjGnlA  #water #flood #disaster,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Mumbai</strong> - future disasters in making! <a class=""twitter-timeline-link"" data-expanded-url=""http://goo.gl/yjGnlA"" dir=""ltr"" href=""http://t.co/eQddRB4jv4"" rel=""nofollow noopener"" target=""_blank"" title=""http://goo.gl/yjGnlA""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">goo.gl/yjGnlA</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/water?src=hash""><s>#</s><b>water</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/disaster?src=hash""><s>#</s><b>disaster</b></a></p>"
SanaKhanGeek,Sana Khan,2368663945,544555926926016512,/SanaKhanGeek/status/544555926926016512,2014-12-15 18:13:44,1418667224,0,0,0,0,,,,"Humanity Still Exists: The good samaritans of Mumbai help out elderly during #Mumbai floods of 2005. 

#flood pic.twitter.com/QA8i7EUyg0","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Humanity Still Exists: The good samaritans of <strong>Mumbai</strong> help out elderly during <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> floods of 2005. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/QA8i7EUyg0"">pic.twitter.com/QA8i7EUyg0</a></p>"
mataonline,Maharashtra Times,171880832,539248361623146498,/mataonline/status/539248361623146498,2014-12-01 02:43:22,1417401802,0,1,0,0,,,,"हवामान बदलाचा फटका, मुंबई-कोलकाताला पुराचा धोका!
http://mtonline.in/cFxIbY 
#mumbai #globalwarming #flood #Mumbai #Kolkata","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""mr"">हवामान बदलाचा फटका, मुंबई-कोलकाताला पुराचा धोका!
<a class=""twitter-timeline-link"" data-expanded-url=""http://mtonline.in/cFxIbY"" dir=""ltr"" href=""http://t.co/AB5aHGoTP5"" rel=""nofollow noopener"" target=""_blank"" title=""http://mtonline.in/cFxIbY""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">mtonline.in/cFxIbY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mumbai?src=hash""><s>#</s><b><strong>mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/globalwarming?src=hash""><s>#</s><b>globalwarming</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b>Kolkata</b></a></p>"
iq2eq,L Prasad,41327893,538672533910740992,/iq2eq/status/538672533910740992,2014-11-29 12:35:14,1417264514,0,0,1,0,,,,"""All this sound & fury receded with the floodwaters & it was soon business as usual."" http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity … Mumbai is on verge of imploding","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""All this sound &amp; fury receded with the <strong>floodwaters</strong> &amp; it was soon business as usual."" <a class=""twitter-timeline-link"" data-expanded-url=""http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity"" dir=""ltr"" href=""http://t.co/jvfG2lF3ZM"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.theguardian.com/cities/2014/nov/24/mumbai-verge-imploding-polluted-megacity""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">theguardian.com/cities/2014/no</span><span class=""invisible"">v/24/mumbai-verge-imploding-polluted-megacity</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <strong>Mumbai</strong> is on verge of imploding</p>"
puninda,Puninda,374244478,538043133792374784,/puninda/status/538043133792374784,2014-11-27 18:54:14,1417114454,0,0,0,0,,,,"Effective urban #planning crucial for #Mumbai http://bit.ly/1psaNmj  unchecked intense development,waste mgmt issues increase #flood damages","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Effective urban <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/planning?src=hash""><s>#</s><b>planning</b></a> crucial for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mumbai?src=hash""><s>#</s><b><strong>Mumbai</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1psaNmj"" dir=""ltr"" href=""http://t.co/FDxZpmLT9f"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1psaNmj""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1psaNmj</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> unchecked intense development,waste mgmt issues increase <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> damages</p>"
rx100products,Tony Cowling,2319863726,537940671798452224,/rx100products/status/537940671798452224,2014-11-27 12:07:05,1417090025,0,0,0,0,,,,#flood #rx100 Mumbai will likely <b>flood</b> again – and nobody&#39;s doing much about it http://ow.ly/2RhjvC ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rx100?src=hash""><s>#</s><b>rx100</b></a> <strong>Mumbai</strong> will likely &lt;b&gt;flood&lt;/b&gt; again – and nobody&amp;#39;s doing much about it <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/2RhjvC"" dir=""ltr"" href=""http://t.co/fAKJvp6sfp"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/2RhjvC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/2RhjvC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
